,zc
2230,60661
2231,60654
2232,60602
2233,60604
2234,60601
2235,60625
2236,60614
2237,60651
2238,60614
2239,60625
2240,60625
2241,60625
2242,60625
2243,60625
2244,60625
2245,60625
2246,60604
2247,60603
2248,60604
2249,60604
2250,60604
2251,nan
2252,60601
2253,nan
2254,60696
2255,60607
2256,60661
2257,60618
2258,60618
2259,60657
2260,60606
2261,60604
2262,60601
2263,60606
2264,60661
2265,60604
2266,60610
2267,60614
2268,60614
2269,60647
2270,60606
2271,60651
2272,60622
2273,60651
2274,nan
2275,60606
2276,nan
2277,60606
2278,60606
2279,nan
2280,60606
2281,nan
2282,60601
2283,60606
2284,60606
2285,60601
2286,60606
2287,60601
2288,60601
2289,60614
2290,60610
2291,60610
2292,60615
2293,nan
2294,60661
2295,60644
2296,60610
2297,60661
2298,60606
2299,60644
2300,60626
2301,60614
2302,60606
2303,60606
2304,60607
2305,60616
2306,60637
2307,nan
2308,60604
2309,60654
2310,60611
2311,60604
2312,60640
2313,60611
2314,60640
2315,60657
2316,60657
2317,60657
2318,60657
2319,60642
2320,60642
2321,60642
2322,60626
2323,60602
2324,60604
2325,60610
2326,60616
2327,60661
2328,60661
2329,60201
2330,60642
2331,60607
2332,60642
2333,60661
2334,60642
2335,60642
2336,60661
2337,60661
2338,60642
2339,60642
2340,60642
2341,60602
2342,60604
2343,60602
2344,60604
2345,60602
2346,60604
2347,60618
2348,60618
2349,60618
2350,60618
2351,60618
2352,60606
2353,60601
2354,60606
2355,60657
2356,60606
2357,60601
2358,60644
2359,60610
2360,60601
2361,60614
2362,60610
2363,60606
2364,60610
2365,60604
2366,60610
2367,60614
2368,60614
2369,60661
2370,60610
2371,60610
2372,60601
2373,60601
2374,60610
2375,60614
2376,60614
2377,60614
2378,60618-9997
2379,60661
2380,60601
2381,60601
2382,60601
2383,60606
2384,60601
2385,60606
2386,60606
2387,60601
2388,60606
2389,60606
2390,60642
2391,60616
2392,60614
2393,nan
2394,60610
2395,60661
2396,60605
2397,60661
2398,60610
2399,60606
2400,60661
2401,60606
2402,60644
2403,60605
2404,60622
2405,60606
2406,60607
2407,60618
2408,60610
2409,60661
2410,60610
2411,60610
2412,60610
2413,60610
2414,60606
2415,60654
2416,60610
2417,60610
2418,60661
2419,60610
2420,60610
2421,60661
2422,60661
2423,60601
2424,60661
2425,60654
2426,60601
2427,60601
2428,60661
2429,nan
2430,60605
2431,60605
2432,60661
2433,60606
2434,60653
2435,60606
2436,60601
2437,60606
2438,nan
2439,9020
2440,60606
2441,60601
2442,60606
2443,60601
2444,60618
2445,60641
2446,60613
2447,60641
2448,60641
2449,60641
2450,60607
2451,60612
2452,60616
2453,60616
2454,60605
2455,60604
2456,60616
2457,60606
2458,60606
2459,60616
2460,60601
2461,60601
2462,60611
2463,60647
2464,60603
2465,60601
2466,60611
2467,60647
2468,60603
2469,60603
2470,60647
2471,60622
2472,60601
2473,60661
2474,60654
2475,60610
2476,60606
2477,60604
2478,60661
2479,60661
2480,60661
2481,60622
2482,60614
2483,60661
2484,60610
2485,60637
2486,60606
2487,60610
2488,60614
2489,60606
